year,precip_in,scenario
2010,31.32,nclimgrid
2011,30.04,nclimgrid
2012,27.29,nclimgrid
2013,31.0,nclimgrid
2014,30.79,nclimgrid
2015,34.55,nclimgrid
2016,31.35,nclimgrid
2017,32.2,nclimgrid
2018,34.6,nclimgrid
2019,34.77,nclimgrid
2020,,nclimgrid
2021,,nclimgrid
2022,,nclimgrid
2023,,nclimgrid
2024,,nclimgrid
2025,,nclimgrid
2026,,nclimgrid
2027,,nclimgrid
2028,,nclimgrid
2029,,nclimgrid
2030,,nclimgrid
2031,,nclimgrid
2032,,nclimgrid
2033,,nclimgrid
2034,,nclimgrid
2035,,nclimgrid
2036,,nclimgrid
2037,,nclimgrid
2038,,nclimgrid
2039,,nclimgrid
2040,,nclimgrid
2041,,nclimgrid
2042,,nclimgrid
2043,,nclimgrid
2044,,nclimgrid
2045,,nclimgrid
2046,,nclimgrid
2047,,nclimgrid
2048,,nclimgrid
2049,,nclimgrid
2050,,nclimgrid
2051,,nclimgrid
2052,,nclimgrid
2053,,nclimgrid
2054,,nclimgrid
2055,,nclimgrid
2056,,nclimgrid
2057,,nclimgrid
2058,,nclimgrid
2059,,nclimgrid
2060,,nclimgrid
2061,,nclimgrid
2062,,nclimgrid
2063,,nclimgrid
2064,,nclimgrid
2065,,nclimgrid
2066,,nclimgrid
2067,,nclimgrid
2068,,nclimgrid
2069,,nclimgrid
2070,,nclimgrid
2071,,nclimgrid
2072,,nclimgrid
2073,,nclimgrid
2074,,nclimgrid
2075,,nclimgrid
2076,,nclimgrid
2077,,nclimgrid
2078,,nclimgrid
2079,,nclimgrid
2080,,nclimgrid
2081,,nclimgrid
2082,,nclimgrid
2083,,nclimgrid
2084,,nclimgrid
2085,,nclimgrid
2086,,nclimgrid
2087,,nclimgrid
2088,,nclimgrid
2089,,nclimgrid
2090,,nclimgrid
2091,,nclimgrid
2092,,nclimgrid
2093,,nclimgrid
2094,,nclimgrid
2095,,nclimgrid
2096,,nclimgrid
2097,,nclimgrid
2098,,nclimgrid
2099,,nclimgrid
2100,,nclimgrid
