year,season,scenario,model,snc_mile2
1900,2,historical,bcc_csm2_mr,3781625.16855123
1900,3,historical,bcc_csm2_mr,744338.1607769
1900,4,historical,bcc_csm2_mr,1776054.22035837
1901,1,historical,bcc_csm2_mr,4717859.01171909
1901,2,historical,bcc_csm2_mr,3679210.55614395
1901,3,historical,bcc_csm2_mr,808228.081672536
1901,4,historical,bcc_csm2_mr,1927048.57500038
1902,1,historical,bcc_csm2_mr,4921674.92402913
1902,2,historical,bcc_csm2_mr,3957926.59822959
1902,3,historical,bcc_csm2_mr,758127.541199457
1902,4,historical,bcc_csm2_mr,1834110.15488418
1903,1,historical,bcc_csm2_mr,4643617.25681002
1903,2,historical,bcc_csm2_mr,3582231.49833864
1903,3,historical,bcc_csm2_mr,877059.794659026
1903,4,historical,bcc_csm2_mr,1787824.32794567
1904,1,historical,bcc_csm2_mr,4657141.89283578
1904,2,historical,bcc_csm2_mr,3728035.17702865
1904,3,historical,bcc_csm2_mr,793442.854777908
1904,4,historical,bcc_csm2_mr,1790338.8503279
1905,1,historical,bcc_csm2_mr,4756687.40380111
1905,2,historical,bcc_csm2_mr,3309507.35628317
1905,3,historical,bcc_csm2_mr,559049.231648773
1905,4,historical,bcc_csm2_mr,1713097.28129818
1906,1,historical,bcc_csm2_mr,5126511.1671397
1906,2,historical,bcc_csm2_mr,3630295.39814718
1906,3,historical,bcc_csm2_mr,549238.293251271
1906,4,historical,bcc_csm2_mr,1858585.88859975
1907,1,historical,bcc_csm2_mr,5258297.26445511
1907,2,historical,bcc_csm2_mr,3793921.61803995
1907,3,historical,bcc_csm2_mr,676328.158345481
1907,4,historical,bcc_csm2_mr,1963359.97388321
1908,1,historical,bcc_csm2_mr,4688343.80242086
1908,2,historical,bcc_csm2_mr,3476935.34676995
1908,3,historical,bcc_csm2_mr,684185.79877504
1908,4,historical,bcc_csm2_mr,1965882.00528904
1909,1,historical,bcc_csm2_mr,5121490.07575313
1909,2,historical,bcc_csm2_mr,3598737.88073641
1909,3,historical,bcc_csm2_mr,758484.638336013
1909,4,historical,bcc_csm2_mr,1997539.97786682
1910,1,historical,bcc_csm2_mr,5098784.27216255
1910,2,historical,bcc_csm2_mr,3897941.02968765
1910,3,historical,bcc_csm2_mr,663072.991747219
1910,4,historical,bcc_csm2_mr,1913860.10238363
1911,1,historical,bcc_csm2_mr,4962831.56032994
1911,2,historical,bcc_csm2_mr,3715994.18676302
1911,3,historical,bcc_csm2_mr,723030.665655156
1911,4,historical,bcc_csm2_mr,2050441.752957
1912,1,historical,bcc_csm2_mr,4629399.68635336
1912,2,historical,bcc_csm2_mr,3496641.08860684
1912,3,historical,bcc_csm2_mr,753247.878681296
1912,4,historical,bcc_csm2_mr,2199077.00269786
1913,1,historical,bcc_csm2_mr,5501219.47117184
1913,2,historical,bcc_csm2_mr,4237638.82037439
1913,3,historical,bcc_csm2_mr,704145.954641621
1913,4,historical,bcc_csm2_mr,1866591.92635289
1914,1,historical,bcc_csm2_mr,4775027.59604341
1914,2,historical,bcc_csm2_mr,3826786.37872371
1914,3,historical,bcc_csm2_mr,697048.609864762
1914,4,historical,bcc_csm2_mr,1819386.44121409
1915,1,historical,bcc_csm2_mr,5180052.07036517
1915,2,historical,bcc_csm2_mr,3753120.22616467
1915,3,historical,bcc_csm2_mr,683193.313086591
1915,4,historical,bcc_csm2_mr,2061033.91935833
1916,1,historical,bcc_csm2_mr,4785866.69348699
1916,2,historical,bcc_csm2_mr,3741452.7020529
1916,3,historical,bcc_csm2_mr,667519.309446436
1916,4,historical,bcc_csm2_mr,1981834.00621567
1917,1,historical,bcc_csm2_mr,5050250.93522245
1917,2,historical,bcc_csm2_mr,3893688.90895093
1917,3,historical,bcc_csm2_mr,551015.020252707
1917,4,historical,bcc_csm2_mr,1802573.46937584
1918,1,historical,bcc_csm2_mr,5158928.41241444
1918,2,historical,bcc_csm2_mr,3328767.11288599
1918,3,historical,bcc_csm2_mr,753675.73916279
1918,4,historical,bcc_csm2_mr,1700928.14822769
1919,1,historical,bcc_csm2_mr,4748841.3603563
1919,2,historical,bcc_csm2_mr,3714336.20035361
1919,3,historical,bcc_csm2_mr,662709.248277237
1919,4,historical,bcc_csm2_mr,1691964.48815522
1920,1,historical,bcc_csm2_mr,5229506.94013679
1920,2,historical,bcc_csm2_mr,3766873.45005957
1920,3,historical,bcc_csm2_mr,595218.57776418
1920,4,historical,bcc_csm2_mr,1832222.57124296
1921,1,historical,bcc_csm2_mr,5041178.24127109
1921,2,historical,bcc_csm2_mr,3505544.43685954
1921,3,historical,bcc_csm2_mr,774535.993625651
1921,4,historical,bcc_csm2_mr,1477815.53582575
1922,1,historical,bcc_csm2_mr,4754414.49941492
