year,scenario,model,snc_mile2
2065,ssp370,bcc_csm2_mr,2027262.68967759
2066,ssp370,bcc_csm2_mr,2123699.47584545
2067,ssp370,bcc_csm2_mr,2147439.58205054
2068,ssp370,bcc_csm2_mr,2098351.07585546
2069,ssp370,bcc_csm2_mr,1778390.9695187
2070,ssp370,bcc_csm2_mr,1932854.03842538
2071,ssp370,bcc_csm2_mr,1756727.57589935
2072,ssp370,bcc_csm2_mr,1931140.4254487
2073,ssp370,bcc_csm2_mr,1946028.65267336
2074,ssp370,bcc_csm2_mr,1864063.240456
2075,ssp370,bcc_csm2_mr,2078926.46562417
2076,ssp370,bcc_csm2_mr,1845527.54239173
2077,ssp370,bcc_csm2_mr,1896599.31640039
2078,ssp370,bcc_csm2_mr,2097657.06153085
2079,ssp370,bcc_csm2_mr,1887128.95800798
2080,ssp370,bcc_csm2_mr,1602757.68716316
2081,ssp370,bcc_csm2_mr,1504558.78583972
2082,ssp370,bcc_csm2_mr,1612465.32716079
2083,ssp370,bcc_csm2_mr,1534216.95185262
2084,ssp370,bcc_csm2_mr,1554435.85387069
2085,ssp370,bcc_csm2_mr,1712097.45706454
2086,ssp370,bcc_csm2_mr,1840501.72323387
2087,ssp370,bcc_csm2_mr,1680080.13587103
2088,ssp370,bcc_csm2_mr,1792986.44714329
2089,ssp370,bcc_csm2_mr,1982221.09550757
2090,ssp370,bcc_csm2_mr,1845247.27669241
2091,ssp370,bcc_csm2_mr,2003304.31735026
2092,ssp370,bcc_csm2_mr,1770454.82135368
2093,ssp370,bcc_csm2_mr,1861272.99788661
2094,ssp370,bcc_csm2_mr,1575974.9577024
2095,ssp370,bcc_csm2_mr,1459995.88263063
2096,ssp370,bcc_csm2_mr,1764220.06218097
2097,ssp370,bcc_csm2_mr,1675062.10780241
2098,ssp370,bcc_csm2_mr,1813077.40374381
2099,ssp370,bcc_csm2_mr,1391153.18387341
2100,ssp370,bcc_csm2_mr,1683929.99570454
2015,ssp585,bcc_csm2_mr,2522221.42387058
2016,ssp585,bcc_csm2_mr,2635533.47407189
2017,ssp585,bcc_csm2_mr,2672399.86346301
2018,ssp585,bcc_csm2_mr,2542272.93638546
2019,ssp585,bcc_csm2_mr,2409678.92859529
2020,ssp585,bcc_csm2_mr,2359703.93642418
2021,ssp585,bcc_csm2_mr,2366244.04824588
2022,ssp585,bcc_csm2_mr,2276130.12860661
2023,ssp585,bcc_csm2_mr,2310089.29129562
2024,ssp585,bcc_csm2_mr,2321364.48516491
2025,ssp585,bcc_csm2_mr,2331258.9448737
2026,ssp585,bcc_csm2_mr,2378632.71861179
2027,ssp585,bcc_csm2_mr,2337582.86775177
2028,ssp585,bcc_csm2_mr,2258740.62512814
2029,ssp585,bcc_csm2_mr,2371302.22347208
2030,ssp585,bcc_csm2_mr,2282283.36589186
