,year,av_temp,scenario
48,1998,31.236230144217725,ssp585
49,1999,31.99780498988073,ssp585
50,2000,32.36474671863233,ssp585
51,2001,31.639630264974414,ssp585
52,2002,32.00361296148893,ssp585
53,2003,31.92872853136274,ssp585
54,2004,31.759327265596216,ssp585
55,2005,32.27984316599769,ssp585
56,2006,33.59510017379782,ssp585
57,2007,31.36474376718816,ssp585
58,2008,32.658364960752515,ssp585
59,2009,32.22404292021328,ssp585
60,2010,32.69020802278897,ssp585
61,2011,32.74615700058489,ssp585
62,2012,32.018589846686375,ssp585
63,2013,31.66172281734643,ssp585
64,2014,32.53269938935961,ssp585
65,2015,33.613890499111065,ssp585
66,2016,33.52021245844549,ssp585
67,2017,33.4492236802004,ssp585
68,2018,32.59904856577348,ssp585
69,2019,33.342602183048726,ssp585
70,2020,34.25243644029158,ssp585
71,2021,33.1262614163669,ssp585
72,2022,33.34079753150535,ssp585
73,2023,33.99130292167753,ssp585
74,2024,34.72747906399202,ssp585
75,2025,34.399199625029944,ssp585
76,2026,33.7733401908944,ssp585
77,2027,34.06990538392415,ssp585
78,2028,34.68711435220516,ssp585
79,2029,34.634645044151185,ssp585
80,2030,33.819299673492445,ssp585
81,2031,34.008679870067056,ssp585
82,2032,35.845096318558646,ssp585
83,2033,35.78327135468035,ssp585
84,2034,34.41132677896517,ssp585
85,2035,34.72961813717114,ssp585
86,2036,35.16127375363191,ssp585
87,2037,36.10815002595144,ssp585
88,2038,34.55719060344578,ssp585
89,2039,35.20370640017261,ssp585
90,2040,35.60163550634951,ssp585
91,2041,35.34901742904895,ssp585
92,2042,36.22985789533964,ssp585
93,2043,35.63947512325204,ssp585
94,2044,35.451153639555116,ssp585
95,2045,36.34211846770126,ssp585
96,2046,36.19387888198901,ssp585
97,2047,35.75685767100332,ssp585
98,2048,36.40063220777704,ssp585
99,2049,36.4647133552356,ssp585
100,2050,35.888050660270466,ssp585
101,2051,36.571181259778,ssp585
102,2052,36.03765175011969,ssp585
103,2053,37.094157371311255,ssp585
104,2054,36.41500314037851,ssp585
105,2055,37.452579304837855,ssp585
106,2056,37.385727189841745,ssp585
107,2057,37.0244682933281,ssp585
108,2058,37.272246839666366,ssp585
109,2059,37.53430093208901,ssp585
110,2060,37.54422806610473,ssp585
111,2061,37.698767201627234,ssp585
112,2062,37.30318600215828,ssp585
113,2063,35.91855022425456,ssp585
114,2064,36.869070336546756,ssp585
115,2065,37.83971087508563,ssp585
116,2066,38.52606081331408,ssp585
117,2067,38.60792894512802,ssp585
118,2068,38.02488718423326,ssp585
119,2069,38.410701197271706,ssp585
120,2070,38.38416837014251,ssp585
121,2071,38.80948252877884,ssp585
122,2072,38.71006629854489,ssp585
123,2073,38.73378319329705,ssp585
124,2074,38.31957025129166,ssp585
125,2075,39.58733684979387,ssp585
126,2076,38.303931909068766,ssp585
127,2077,39.019488178972,ssp585
128,2078,39.5072118662725,ssp585
129,2079,39.20152987679805,ssp585
130,2080,39.93510504633486,ssp585
131,2081,40.1537639369723,ssp585
132,2082,40.3637501867921,ssp585
133,2083,40.68477239185511,ssp585
134,2084,40.04187451219681,ssp585
135,2085,40.669535077031604,ssp585
136,2086,39.540999840950136,ssp585
137,2087,40.04364103932299,ssp585
138,2088,40.57375360504428,ssp585
139,2089,41.19477280084731,ssp585
140,2090,40.4568463644849,ssp585
141,2091,40.53455690136752,ssp585
142,2092,40.1009669066725,ssp585
143,2093,41.346585007629514,ssp585
144,2094,41.529509745116584,ssp585
145,2095,41.37772060042822,ssp585
146,2096,40.98427287258929,ssp585
147,2097,42.29470018329225,ssp585
148,2098,41.89535590640248,ssp585
149,2099,41.04320187582269,ssp585
150,2100,41.804999759055185,ssp585
