year,state,av_temp,scenario
2005,PA,48.31,ssp126
2006,PA,48.44,ssp126
2007,PA,48.87,ssp126
2008,PA,48.92,ssp126
2009,PA,49.27,ssp126
2010,PA,48.95,ssp126
2011,PA,49.3,ssp126
2012,PA,48.65,ssp126
2013,PA,48.6,ssp126
2014,PA,48.33,ssp126
2015,PA,49.8,ssp126
2016,PA,48.17,ssp126
2017,PA,49.44,ssp126
2018,PA,49.35,ssp126
2019,PA,49.46,ssp126
2020,PA,49.23,ssp126
2021,PA,48.71,ssp126
2022,PA,50.04,ssp126
2023,PA,49.58,ssp126
2024,PA,50.07,ssp126
2025,PA,49.38,ssp126
2026,PA,49.48,ssp126
2027,PA,50.16,ssp126
2028,PA,50.63,ssp126
2029,PA,50.26,ssp126
2030,PA,50.2,ssp126
2031,PA,51.19,ssp126
2032,PA,50.62,ssp126
2033,PA,49.65,ssp126
2034,PA,50.48,ssp126
2035,PA,50.64,ssp126
2036,PA,50.61,ssp126
2037,PA,49.84,ssp126
2038,PA,50.79,ssp126
2039,PA,49.84,ssp126
2040,PA,51.48,ssp126
2041,PA,51.07,ssp126
2042,PA,50.84,ssp126
2043,PA,51.45,ssp126
2044,PA,50.43,ssp126
2045,PA,50.62,ssp126
2046,PA,50.79,ssp126
2047,PA,49.83,ssp126
2048,PA,51.64,ssp126
2049,PA,50.08,ssp126
2050,PA,50.57,ssp126
2051,PA,50.99,ssp126
2052,PA,51.93,ssp126
2053,PA,50.92,ssp126
2054,PA,50.34,ssp126
2055,PA,50.61,ssp126
2056,PA,50.6,ssp126
2057,PA,50.68,ssp126
2058,PA,50.88,ssp126
2059,PA,51.26,ssp126
2060,PA,51.19,ssp126
2061,PA,51.22,ssp126
2062,PA,50.97,ssp126
2063,PA,51.58,ssp126
2064,PA,52.07,ssp126
2065,PA,51.5,ssp126
2066,PA,50.74,ssp126
2067,PA,51.87,ssp126
2068,PA,51.8,ssp126
2069,PA,51.21,ssp126
2070,PA,51.75,ssp126
2071,PA,51.01,ssp126
2072,PA,51.04,ssp126
2073,PA,51.43,ssp126
2074,PA,51.75,ssp126
2075,PA,51.85,ssp126
2076,PA,50.98,ssp126
2077,PA,52.02,ssp126
2078,PA,51.35,ssp126
2079,PA,51.46,ssp126
2080,PA,51.32,ssp126
2081,PA,50.62,ssp126
2082,PA,51.33,ssp126
2083,PA,50.68,ssp126
2084,PA,50.98,ssp126
2085,PA,50.93,ssp126
2086,PA,52.25,ssp126
2087,PA,50.64,ssp126
2088,PA,50.64,ssp126
2089,PA,50.48,ssp126
2090,PA,50.65,ssp126
2091,PA,51.13,ssp126
2092,PA,51.71,ssp126
2093,PA,51.3,ssp126
2094,PA,50.85,ssp126
2095,PA,51.2,ssp126
2096,PA,50.34,ssp126
2097,PA,51.63,ssp126
2098,PA,50.33,ssp126
2099,PA,49.95,ssp126
2100,PA,50.1,ssp126
1950,MO,54.74,ssp126
1951,MO,54.08,ssp126
1952,MO,53.36,ssp126
1953,MO,53.6,ssp126
1954,MO,54.22,ssp126
1955,MO,55.03,ssp126
1956,MO,55.68,ssp126
1957,MO,54.81,ssp126
1958,MO,54.38,ssp126
1959,MO,54.05,ssp126
1960,MO,53.26,ssp126
1961,MO,54.5,ssp126
1962,MO,53.71,ssp126
1963,MO,53.98,ssp126
1964,MO,53.65,ssp126
1965,MO,52.53,ssp126
1966,MO,53.46,ssp126
1967,MO,54.27,ssp126
1968,MO,53.05,ssp126
1969,MO,52.57,ssp126
1970,MO,54.41,ssp126
1971,MO,54.28,ssp126
1972,MO,54.82,ssp126
1973,MO,53.8,ssp126
1974,MO,53.55,ssp126
1975,MO,54.13,ssp126
1976,MO,54.06,ssp126
1977,MO,54.17,ssp126
1978,MO,54.59,ssp126
1979,MO,55.49,ssp126
1980,MO,54.49,ssp126
1981,MO,54.3,ssp126
1982,MO,54.38,ssp126
