,year,avg_djf_temp_f,scenario,model
22,1972,31.581178635620468,ssp245,fgoals-g3
23,1973,33.89418515619875,ssp245,fgoals-g3
24,1974,26.36097807972235,ssp245,fgoals-g3
25,1975,35.50844083675234,ssp245,fgoals-g3
26,1976,26.27026112427362,ssp245,fgoals-g3
27,1977,32.73434430689133,ssp245,fgoals-g3
28,1978,30.409172709359428,ssp245,fgoals-g3
29,1979,30.29955946016386,ssp245,fgoals-g3
30,1980,32.61692888383224,ssp245,fgoals-g3
31,1981,32.4411115446247,ssp245,fgoals-g3
32,1982,37.786769920162655,ssp245,fgoals-g3
33,1983,29.710510768778004,ssp245,fgoals-g3
34,1984,32.24239488951065,ssp245,fgoals-g3
35,1985,26.36082001558536,ssp245,fgoals-g3
36,1986,30.605736253927272,ssp245,fgoals-g3
37,1987,28.65197395402943,ssp245,fgoals-g3
38,1988,29.45218645557954,ssp245,fgoals-g3
39,1989,35.32049714249952,ssp245,fgoals-g3
40,1990,28.539239686683615,ssp245,fgoals-g3
41,1991,32.44835736784389,ssp245,fgoals-g3
42,1992,32.02210931342043,ssp245,fgoals-g3
43,1993,33.04057433442984,ssp245,fgoals-g3
44,1994,31.378444883544564,ssp245,fgoals-g3
45,1995,29.606659029075775,ssp245,fgoals-g3
46,1996,30.544685865709713,ssp245,fgoals-g3
47,1997,29.377429865015664,ssp245,fgoals-g3
48,1998,33.55017633878583,ssp245,fgoals-g3
49,1999,34.69747503655227,ssp245,fgoals-g3
50,2000,37.05197855505285,ssp245,fgoals-g3
51,2001,31.542738058987997,ssp245,fgoals-g3
52,2002,34.60364874392624,ssp245,fgoals-g3
53,2003,26.282402136110232,ssp245,fgoals-g3
54,2004,31.79818124828941,ssp245,fgoals-g3
55,2005,30.068304907669315,ssp245,fgoals-g3
56,2006,36.40642156898425,ssp245,fgoals-g3
57,2007,32.972497336608036,ssp245,fgoals-g3
58,2008,33.40291195179105,ssp245,fgoals-g3
59,2009,33.38381483414526,ssp245,fgoals-g3
60,2010,34.45780220609402,ssp245,fgoals-g3
61,2011,31.75052575660807,ssp245,fgoals-g3
62,2012,29.58499789339141,ssp245,fgoals-g3
63,2013,35.74835431583526,ssp245,fgoals-g3
64,2014,31.621327375919076,ssp245,fgoals-g3
65,2015,33.396747489896214,ssp245,fgoals-g3
66,2016,32.94888929971669,ssp245,fgoals-g3
67,2017,35.93686798238597,ssp245,fgoals-g3
68,2018,34.37731140783125,ssp245,fgoals-g3
69,2019,30.084976702346403,ssp245,fgoals-g3
70,2020,32.35412541687911,ssp245,fgoals-g3
71,2021,32.69087809202697,ssp245,fgoals-g3
72,2022,30.566032850888224,ssp245,fgoals-g3
73,2023,38.75345571127246,ssp245,fgoals-g3
74,2024,34.082489444322334,ssp245,fgoals-g3
75,2025,33.79103360412573,ssp245,fgoals-g3
76,2026,32.4418458856635,ssp245,fgoals-g3
77,2027,30.97223434146475,ssp245,fgoals-g3
78,2028,37.2109250123127,ssp245,fgoals-g3
79,2029,33.60298778406549,ssp245,fgoals-g3
80,2030,34.77176695046593,ssp245,fgoals-g3
81,2031,34.15006340532412,ssp245,fgoals-g3
82,2032,34.17409931316237,ssp245,fgoals-g3
83,2033,34.36359977066646,ssp245,fgoals-g3
84,2034,38.18635659091396,ssp245,fgoals-g3
85,2035,35.09930498283521,ssp245,fgoals-g3
86,2036,29.667922877382452,ssp245,fgoals-g3
87,2037,33.22795093400962,ssp245,fgoals-g3
88,2038,38.5846325682852,ssp245,fgoals-g3
89,2039,38.14921868672779,ssp245,fgoals-g3
90,2040,33.66906761020238,ssp245,fgoals-g3
91,2041,30.099799097413634,ssp245,fgoals-g3
92,2042,37.74348116408278,ssp245,fgoals-g3
93,2043,35.8527984481932,ssp245,fgoals-g3
94,2044,33.64238831200435,ssp245,fgoals-g3
95,2045,35.906169501166126,ssp245,fgoals-g3
96,2046,35.39625021852157,ssp245,fgoals-g3
97,2047,35.38360713959978,ssp245,fgoals-g3
98,2048,33.07540127327622,ssp245,fgoals-g3
99,2049,38.18548804473457,ssp245,fgoals-g3
100,2050,38.83186579415134,ssp245,fgoals-g3
101,2051,34.49143499125987,ssp245,fgoals-g3
102,2052,33.003012125940096,ssp245,fgoals-g3
103,2053,31.400931278423467,ssp245,fgoals-g3
104,2054,40.586588694253805,ssp245,fgoals-g3
105,2055,29.048906941002755,ssp245,fgoals-g3
106,2056,37.67578761992743,ssp245,fgoals-g3
107,2057,37.79142785043036,ssp245,fgoals-g3
108,2058,35.61163994106565,ssp245,fgoals-g3
109,2059,37.88179386407802,ssp245,fgoals-g3
110,2060,35.85742360405719,ssp245,fgoals-g3
111,2061,30.000159301935255,ssp245,fgoals-g3
112,2062,35.06525179732679,ssp245,fgoals-g3
113,2063,37.24858801989618,ssp245,fgoals-g3
114,2064,33.250486140123336,ssp245,fgoals-g3
115,2065,34.45176691946184,ssp245,fgoals-g3
116,2066,34.230179146719195,ssp245,fgoals-g3
117,2067,38.34601604808995,ssp245,fgoals-g3
118,2068,36.71484432275218,ssp245,fgoals-g3
119,2069,35.4844146593832,ssp245,fgoals-g3
120,2070,34.55586769140725,ssp245,fgoals-g3
121,2071,36.46227471254673,ssp245,fgoals-g3
122,2072,33.36094144163402,ssp245,fgoals-g3
123,2073,35.00042130865495,ssp245,fgoals-g3
124,2074,36.809398840351555,ssp245,fgoals-g3
125,2075,34.775641591466076,ssp245,fgoals-g3
126,2076,36.98497650721683,ssp245,fgoals-g3
127,2077,37.17835936542217,ssp245,fgoals-g3
128,2078,39.333681106395815,ssp245,fgoals-g3
129,2079,36.279580045846565,ssp245,fgoals-g3
130,2080,32.43638018944387,ssp245,fgoals-g3
131,2081,38.1243111515455,ssp245,fgoals-g3
132,2082,42.1037259710302,ssp245,fgoals-g3
133,2083,35.867770478918295,ssp245,fgoals-g3
134,2084,34.85573923942703,ssp245,fgoals-g3
135,2085,36.872209823053446,ssp245,fgoals-g3
136,2086,33.895068162270455,ssp245,fgoals-g3
137,2087,39.11380947325317,ssp245,fgoals-g3
138,2088,38.87890338187493,ssp245,fgoals-g3
139,2089,35.0515206621867,ssp245,fgoals-g3
140,2090,38.85638307201721,ssp245,fgoals-g3
141,2091,33.26709883415786,ssp245,fgoals-g3
142,2092,40.875338674596456,ssp245,fgoals-g3
143,2093,36.817713331012854,ssp245,fgoals-g3
144,2094,37.672181569271515,ssp245,fgoals-g3
145,2095,36.40922070447668,ssp245,fgoals-g3
146,2096,38.93009207147033,ssp245,fgoals-g3
147,2097,35.5629726995032,ssp245,fgoals-g3
148,2098,32.0933994597649,ssp245,fgoals-g3
149,2099,32.98121172988349,ssp245,fgoals-g3
150,2100,40.343247440635345,ssp245,fgoals-g3
0,1950,,ssp245,inm-cm4-8
1,1951,31.369525935618203,ssp245,inm-cm4-8
2,1952,35.38244202221697,ssp245,inm-cm4-8
3,1953,30.458333631548285,ssp245,inm-cm4-8
4,1954,27.54714193177675,ssp245,inm-cm4-8
5,1955,35.847551437400085,ssp245,inm-cm4-8
6,1956,27.344171800565867,ssp245,inm-cm4-8
7,1957,30.887788497201846,ssp245,inm-cm4-8
8,1958,29.014753314696343,ssp245,inm-cm4-8
9,1959,32.59258739878667,ssp245,inm-cm4-8
10,1960,30.177593441799818,ssp245,inm-cm4-8
11,1961,34.743976909050744,ssp245,inm-cm4-8
12,1962,34.016323301809734,ssp245,inm-cm4-8
13,1963,33.19295399054918,ssp245,inm-cm4-8
14,1964,29.363445793148575,ssp245,inm-cm4-8
15,1965,29.06958342134191,ssp245,inm-cm4-8
16,1966,29.467813411893978,ssp245,inm-cm4-8
17,1967,26.24887784936149,ssp245,inm-cm4-8
18,1968,29.01887754050821,ssp245,inm-cm4-8
19,1969,32.180439126722725,ssp245,inm-cm4-8
20,1970,31.66111595159071,ssp245,inm-cm4-8
21,1971,33.30496829181806,ssp245,inm-cm4-8
22,1972,35.211316127189114,ssp245,inm-cm4-8
23,1973,26.359227916709308,ssp245,inm-cm4-8
24,1974,29.700016092203086,ssp245,inm-cm4-8
25,1975,31.594708052188597,ssp245,inm-cm4-8
26,1976,30.527117217963276,ssp245,inm-cm4-8
27,1977,32.31026718397102,ssp245,inm-cm4-8
28,1978,30.96869329612347,ssp245,inm-cm4-8
29,1979,26.698929092060183,ssp245,inm-cm4-8
30,1980,31.222141721704222,ssp245,inm-cm4-8
31,1981,30.492186046267154,ssp245,inm-cm4-8
32,1982,32.80788020303687,ssp245,inm-cm4-8
33,1983,30.674594072836605,ssp245,inm-cm4-8
34,1984,29.027323670811025,ssp245,inm-cm4-8
35,1985,26.337081276038507,ssp245,inm-cm4-8
36,1986,31.224008764021605,ssp245,inm-cm4-8
37,1987,33.749137313450156,ssp245,inm-cm4-8
38,1988,28.82648485226574,ssp245,inm-cm4-8
39,1989,32.61403039901344,ssp245,inm-cm4-8
40,1990,31.67543569594713,ssp245,inm-cm4-8
41,1991,32.255159677609925,ssp245,inm-cm4-8
42,1992,34.93527147738672,ssp245,inm-cm4-8
43,1993,28.560391761656128,ssp245,inm-cm4-8
44,1994,30.47012120346425,ssp245,inm-cm4-8
45,1995,33.740441839868325,ssp245,inm-cm4-8
46,1996,29.455395469041708,ssp245,inm-cm4-8
47,1997,28.514539362623438,ssp245,inm-cm4-8
48,1998,31.961396538998876,ssp245,inm-cm4-8
49,1999,30.946479340216502,ssp245,inm-cm4-8
50,2000,33.517666877061544,ssp245,inm-cm4-8
51,2001,33.740863965154524,ssp245,inm-cm4-8
52,2002,34.12774300443782,ssp245,inm-cm4-8
53,2003,33.26836774347486,ssp245,inm-cm4-8
54,2004,30.535125906557827,ssp245,inm-cm4-8
55,2005,29.59543097496113,ssp245,inm-cm4-8
56,2006,32.510221519373125,ssp245,inm-cm4-8
57,2007,27.596176766767467,ssp245,inm-cm4-8
58,2008,30.870950202995566,ssp245,inm-cm4-8
59,2009,33.80656608017087,ssp245,inm-cm4-8
60,2010,37.47620852610143,ssp245,inm-cm4-8
61,2011,30.884182598385728,ssp245,inm-cm4-8
62,2012,31.501225883910248,ssp245,inm-cm4-8
63,2013,35.581932266498924,ssp245,inm-cm4-8
64,2014,31.8590743908442,ssp245,inm-cm4-8
65,2015,34.21699389669778,ssp245,inm-cm4-8
66,2016,30.838465503043615,ssp245,inm-cm4-8
67,2017,28.485013183710127,ssp245,inm-cm4-8
68,2018,36.07479043529256,ssp245,inm-cm4-8
69,2019,32.85746795415677,ssp245,inm-cm4-8
