,year,avg_jja_temp_f,scenario,model
70,2020,73.02745125797426,ssp585,gfdl-esm4
71,2021,73.95843156245145,ssp585,gfdl-esm4
72,2022,74.34417310720515,ssp585,gfdl-esm4
73,2023,72.13264413181605,ssp585,gfdl-esm4
74,2024,73.34361529877545,ssp585,gfdl-esm4
75,2025,73.40522430483082,ssp585,gfdl-esm4
76,2026,72.70097730302271,ssp585,gfdl-esm4
77,2027,73.58667208670144,ssp585,gfdl-esm4
78,2028,73.01244325702575,ssp585,gfdl-esm4
79,2029,74.20462398540552,ssp585,gfdl-esm4
80,2030,73.58056660099064,ssp585,gfdl-esm4
81,2031,73.49800801683017,ssp585,gfdl-esm4
82,2032,73.71102270686349,ssp585,gfdl-esm4
83,2033,73.11302381315735,ssp585,gfdl-esm4
84,2034,75.44634103121255,ssp585,gfdl-esm4
85,2035,74.93450922497308,ssp585,gfdl-esm4
86,2036,73.00336252121467,ssp585,gfdl-esm4
87,2037,73.75598009158334,ssp585,gfdl-esm4
88,2038,74.80670338456446,ssp585,gfdl-esm4
89,2039,74.20228780002428,ssp585,gfdl-esm4
90,2040,73.84104453067415,ssp585,gfdl-esm4
91,2041,75.28132611367025,ssp585,gfdl-esm4
92,2042,74.42102359377445,ssp585,gfdl-esm4
93,2043,74.32740026907003,ssp585,gfdl-esm4
94,2044,76.13545450772905,ssp585,gfdl-esm4
95,2045,74.80722735668606,ssp585,gfdl-esm4
96,2046,74.6334116859123,ssp585,gfdl-esm4
97,2047,73.8604442712691,ssp585,gfdl-esm4
98,2048,74.53652716966921,ssp585,gfdl-esm4
99,2049,76.75701372618283,ssp585,gfdl-esm4
100,2050,77.0142065849988,ssp585,gfdl-esm4
101,2051,75.38607823828656,ssp585,gfdl-esm4
102,2052,75.59124907343545,ssp585,gfdl-esm4
103,2053,74.35437525943307,ssp585,gfdl-esm4
104,2054,75.24121443140105,ssp585,gfdl-esm4
105,2055,76.12461318637096,ssp585,gfdl-esm4
106,2056,77.1046237904083,ssp585,gfdl-esm4
107,2057,75.96805713338051,ssp585,gfdl-esm4
108,2058,75.71672304376138,ssp585,gfdl-esm4
109,2059,75.96335094168191,ssp585,gfdl-esm4
110,2060,77.12176595516678,ssp585,gfdl-esm4
111,2061,76.8453270735293,ssp585,gfdl-esm4
112,2062,78.26447584227022,ssp585,gfdl-esm4
113,2063,76.56756170815794,ssp585,gfdl-esm4
114,2064,76.10219410597962,ssp585,gfdl-esm4
115,2065,77.09411383850791,ssp585,gfdl-esm4
116,2066,77.66528243830749,ssp585,gfdl-esm4
117,2067,77.6496890745761,ssp585,gfdl-esm4
118,2068,77.29216404473696,ssp585,gfdl-esm4
119,2069,75.68834027459813,ssp585,gfdl-esm4
