,year,av_temp,scenario
144,2094,80.23547555843733,ssp370
145,2095,80.60635027098647,ssp370
146,2096,81.00177736181436,ssp370
147,2097,80.91491608639416,ssp370
148,2098,81.05590456946327,ssp370
149,2099,81.2002520729899,ssp370
150,2100,81.20468535955084,ssp370
0,1950,70.63439392123007,ssp585
1,1951,70.48493929025257,ssp585
2,1952,70.35367078509307,ssp585
3,1953,70.71123445091119,ssp585
4,1954,70.42869569801506,ssp585
5,1955,70.47739738728468,ssp585
6,1956,70.96992568103744,ssp585
7,1957,70.7754941592385,ssp585
8,1958,70.57934901112927,ssp585
9,1959,70.03477501617596,ssp585
10,1960,70.5282190393316,ssp585
11,1961,70.7204157422409,ssp585
12,1962,70.20329260258718,ssp585
13,1963,70.62017123969233,ssp585
14,1964,69.89779105582086,ssp585
15,1965,69.79101496965005,ssp585
16,1966,70.1344037581807,ssp585
17,1967,70.46461525456324,ssp585
18,1968,69.83288838809317,ssp585
19,1969,70.34307681415106,ssp585
20,1970,69.95270156041704,ssp585
21,1971,70.32190504776588,ssp585
22,1972,70.09752779251303,ssp585
23,1973,70.24956376741748,ssp585
24,1974,69.92894829665268,ssp585
25,1975,70.25614633902943,ssp585
26,1976,70.04300691374462,ssp585
27,1977,70.71094981363754,ssp585
28,1978,70.84151638096507,ssp585
29,1979,70.74907146187523,ssp585
30,1980,70.51683466818561,ssp585
31,1981,71.10864484508002,ssp585
32,1982,70.17074872074943,ssp585
33,1983,69.46087126740393,ssp585
34,1984,70.1563409109832,ssp585
35,1985,70.89408091308421,ssp585
36,1986,70.65259040208986,ssp585
37,1987,70.59907637984983,ssp585
38,1988,71.01728554805119,ssp585
39,1989,71.29230445589725,ssp585
40,1990,71.44343496484173,ssp585
41,1991,70.93603060185393,ssp585
42,1992,69.8340055129249,ssp585
43,1993,70.22241037064,ssp585
44,1994,70.89118135136607,ssp585
45,1995,71.35715305412275,ssp585
46,1996,71.60467929980479,ssp585
47,1997,71.56474295499619,ssp585
48,1998,71.26388571585692,ssp585
49,1999,71.70036821788993,ssp585
50,2000,71.97932629215052,ssp585
51,2001,71.85394224886211,ssp585
52,2002,72.33236289324844,ssp585
53,2003,72.05898147806779,ssp585
54,2004,72.4817096929892,ssp585
55,2005,72.5117000282339,ssp585
56,2006,72.47572043654205,ssp585
57,2007,72.31770253422462,ssp585
58,2008,72.4732602323649,ssp585
59,2009,72.45242516762609,ssp585
60,2010,72.79581745938538,ssp585
61,2011,72.52431894430617,ssp585
62,2012,72.60113086732791,ssp585
63,2013,72.97832290624841,ssp585
64,2014,73.01246293541811,ssp585
65,2015,73.01713918682034,ssp585
66,2016,72.98489198815805,ssp585
67,2017,73.51643912593835,ssp585
68,2018,73.32005669500276,ssp585
69,2019,73.84406218474636,ssp585
70,2020,73.6797672568995,ssp585
71,2021,73.18532280820548,ssp585
72,2022,73.7806983860831,ssp585
73,2023,73.2918795169446,ssp585
