year,state,av_temp,scenario
2089,CA,NA,nclimgrid
2090,CA,NA,nclimgrid
2091,CA,NA,nclimgrid
2092,CA,NA,nclimgrid
2093,CA,NA,nclimgrid
2094,CA,NA,nclimgrid
2095,CA,NA,nclimgrid
2096,CA,NA,nclimgrid
2097,CA,NA,nclimgrid
2098,CA,NA,nclimgrid
2099,CA,NA,nclimgrid
2100,CA,NA,nclimgrid
1950,KY,NA,nclimgrid
1951,KY,NA,nclimgrid
1952,KY,39.36,nclimgrid
1953,KY,39.39,nclimgrid
1954,KY,37.94,nclimgrid
1955,KY,35.16,nclimgrid
1956,KY,35.3,nclimgrid
1957,KY,39.34,nclimgrid
1958,KY,32.82,nclimgrid
1959,KY,33.04,nclimgrid
1960,KY,35.83,nclimgrid
1961,KY,32.84,nclimgrid
1962,KY,35.57,nclimgrid
1963,KY,28.89,nclimgrid
1964,KY,30.86,nclimgrid
1965,KY,35.99,nclimgrid
1966,KY,34.06,nclimgrid
1967,KY,34.96,nclimgrid
1968,KY,32.59,nclimgrid
1969,KY,33.73,nclimgrid
1970,KY,30.38,nclimgrid
1971,KY,35.11,nclimgrid
1972,KY,38.32,nclimgrid
1973,KY,35.8,nclimgrid
1974,KY,38.33,nclimgrid
1975,KY,37.89,nclimgrid
1976,KY,36.73,nclimgrid
1977,KY,27.62,nclimgrid
1978,KY,26.6,nclimgrid
1979,KY,30.22,nclimgrid
1980,KY,33.97,nclimgrid
1981,KY,33.85,nclimgrid
1982,KY,32.41,nclimgrid
1983,KY,38.45,nclimgrid
1984,KY,32.61,nclimgrid
1985,KY,33.99,nclimgrid
1986,KY,34.27,nclimgrid
1987,KY,35.71,nclimgrid
1988,KY,34.65,nclimgrid
1989,KY,37.13,nclimgrid
1990,KY,36.78,nclimgrid
1991,KY,37.93,nclimgrid
1992,KY,39.2,nclimgrid
1993,KY,36.23,nclimgrid
1994,KY,33.42,nclimgrid
1995,KY,37.11,nclimgrid
1996,KY,34.21,nclimgrid
1997,KY,38.12,nclimgrid
1998,KY,39.85,nclimgrid
1999,KY,39.82,nclimgrid
2000,KY,38.32,nclimgrid
2001,KY,32.99,nclimgrid
2002,KY,39.51,nclimgrid
2003,KY,32.81,nclimgrid
2004,KY,35.32,nclimgrid
2005,KY,38.68,nclimgrid
2006,KY,37.57,nclimgrid
2007,KY,36.68,nclimgrid
2008,KY,37.2,nclimgrid
2009,KY,35.14,nclimgrid
2010,KY,32.08,nclimgrid
2011,KY,32.57,nclimgrid
2012,KY,40.17,nclimgrid
2013,KY,38.91,nclimgrid
2014,KY,32.44,nclimgrid
2015,KY,32.96,nclimgrid
2016,KY,39.63,nclimgrid
2017,KY,41.23,nclimgrid
2018,KY,36.52,nclimgrid
2019,KY,39.23,nclimgrid
2020,KY,42.11,nclimgrid
2021,KY,NA,nclimgrid
2022,KY,NA,nclimgrid
2023,KY,NA,nclimgrid
2024,KY,NA,nclimgrid
2025,KY,NA,nclimgrid
2026,KY,NA,nclimgrid
2027,KY,NA,nclimgrid
2028,KY,NA,nclimgrid
2029,KY,NA,nclimgrid
2030,KY,NA,nclimgrid
2031,KY,NA,nclimgrid
2032,KY,NA,nclimgrid
2033,KY,NA,nclimgrid
2034,KY,NA,nclimgrid
2035,KY,NA,nclimgrid
2036,KY,NA,nclimgrid
2037,KY,NA,nclimgrid
2038,KY,NA,nclimgrid
2039,KY,NA,nclimgrid
2040,KY,NA,nclimgrid
2041,KY,NA,nclimgrid
2042,KY,NA,nclimgrid
2043,KY,NA,nclimgrid
2044,KY,NA,nclimgrid
2045,KY,NA,nclimgrid
2046,KY,NA,nclimgrid
2047,KY,NA,nclimgrid
2048,KY,NA,nclimgrid
2049,KY,NA,nclimgrid
2050,KY,NA,nclimgrid
2051,KY,NA,nclimgrid
2052,KY,NA,nclimgrid
2053,KY,NA,nclimgrid
