,year,avg_ann_temp_f,scenario,model
67,2017,53.688743197267996,ssp585,noresm2-mm
68,2018,53.88741450615979,ssp585,noresm2-mm
69,2019,54.46050150245139,ssp585,noresm2-mm
70,2020,52.7154981171828,ssp585,noresm2-mm
71,2021,54.75978309216745,ssp585,noresm2-mm
72,2022,55.411172291046185,ssp585,noresm2-mm
73,2023,53.127248412704496,ssp585,noresm2-mm
74,2024,54.18852536204937,ssp585,noresm2-mm
75,2025,53.215656313691326,ssp585,noresm2-mm
76,2026,54.64134482237789,ssp585,noresm2-mm
77,2027,54.846351718273866,ssp585,noresm2-mm
78,2028,56.70035605524784,ssp585,noresm2-mm
79,2029,55.30226079211633,ssp585,noresm2-mm
80,2030,55.19089474632329,ssp585,noresm2-mm
81,2031,55.19517578240378,ssp585,noresm2-mm
82,2032,57.04007602692818,ssp585,noresm2-mm
83,2033,55.14273364944915,ssp585,noresm2-mm
84,2034,56.097457028361326,ssp585,noresm2-mm
85,2035,53.39944415946492,ssp585,noresm2-mm
86,2036,56.161833697195824,ssp585,noresm2-mm
87,2037,56.41825310683377,ssp585,noresm2-mm
88,2038,54.369947088878064,ssp585,noresm2-mm
89,2039,56.96203305871577,ssp585,noresm2-mm
90,2040,56.42895178166871,ssp585,noresm2-mm
91,2041,57.63113020859893,ssp585,noresm2-mm
92,2042,57.13160465169945,ssp585,noresm2-mm
93,2043,55.68476236052608,ssp585,noresm2-mm
94,2044,54.724817053516446,ssp585,noresm2-mm
95,2045,57.00756064792645,ssp585,noresm2-mm
96,2046,55.69573869320043,ssp585,noresm2-mm
97,2047,56.428853766744034,ssp585,noresm2-mm
98,2048,56.837296985135026,ssp585,noresm2-mm
99,2049,58.354731782683146,ssp585,noresm2-mm
100,2050,57.63956878607572,ssp585,noresm2-mm
101,2051,57.586982270875126,ssp585,noresm2-mm
102,2052,55.410541712609216,ssp585,noresm2-mm
103,2053,55.48328441233655,ssp585,noresm2-mm
104,2054,58.47721528426638,ssp585,noresm2-mm
105,2055,59.31127437644212,ssp585,noresm2-mm
106,2056,57.593495475063854,ssp585,noresm2-mm
107,2057,57.35380324348022,ssp585,noresm2-mm
108,2058,58.64301371418949,ssp585,noresm2-mm
109,2059,58.75468278736274,ssp585,noresm2-mm
110,2060,59.068701242048775,ssp585,noresm2-mm
111,2061,55.97326721646945,ssp585,noresm2-mm
112,2062,58.58304799326992,ssp585,noresm2-mm
113,2063,58.291871421094854,ssp585,noresm2-mm
114,2064,57.27072783345887,ssp585,noresm2-mm
115,2065,58.1486440664356,ssp585,noresm2-mm
116,2066,57.40412810169522,ssp585,noresm2-mm
117,2067,59.27031528939264,ssp585,noresm2-mm
118,2068,58.72412783600511,ssp585,noresm2-mm
119,2069,59.82056417015196,ssp585,noresm2-mm
120,2070,57.21582177696455,ssp585,noresm2-mm
121,2071,60.87750968743801,ssp585,noresm2-mm
122,2072,60.189794849683906,ssp585,noresm2-mm
123,2073,58.72792420729098,ssp585,noresm2-mm
124,2074,60.05166688968216,ssp585,noresm2-mm
125,2075,60.21389609199905,ssp585,noresm2-mm
126,2076,58.79374296553791,ssp585,noresm2-mm
127,2077,59.993177842113546,ssp585,noresm2-mm
