station,year,month,ph,scenario
bats1,1904,3,8.2,historical
bats1,1904,4,8.21,historical
bats1,1904,5,8.2,historical
bats1,1904,6,8.18,historical
bats1,1904,7,8.14,historical
bats1,1904,8,8.12,historical
bats1,1904,9,8.13,historical
bats1,1904,10,8.15,historical
bats1,1904,11,8.18,historical
bats1,1904,12,8.2,historical
bats1,1905,1,8.2,historical
bats1,1905,2,8.2,historical
bats1,1905,3,8.2,historical
bats1,1905,4,8.21,historical
bats1,1905,5,8.19,historical
bats1,1905,6,8.16,historical
bats1,1905,7,8.14,historical
bats1,1905,8,8.11,historical
bats1,1905,9,8.12,historical
bats1,1905,10,8.15,historical
bats1,1905,11,8.17,historical
bats1,1905,12,8.19,historical
bats1,1906,1,8.2,historical
bats1,1906,2,8.2,historical
bats1,1906,3,8.2,historical
bats1,1906,4,8.2,historical
bats1,1906,5,8.19,historical
bats1,1906,6,8.17,historical
bats1,1906,7,8.14,historical
bats1,1906,8,8.12,historical
bats1,1906,9,8.12,historical
bats1,1906,10,8.15,historical
bats1,1906,11,8.18,historical
bats1,1906,12,8.19,historical
bats1,1907,1,8.2,historical
bats1,1907,2,8.2,historical
bats1,1907,3,8.2,historical
bats1,1907,4,8.2,historical
bats1,1907,5,8.19,historical
bats1,1907,6,8.17,historical
bats1,1907,7,8.13,historical
bats1,1907,8,8.11,historical
bats1,1907,9,8.12,historical
bats1,1907,10,8.14,historical
bats1,1907,11,8.17,historical
bats1,1907,12,8.19,historical
bats1,1908,1,8.2,historical
bats1,1908,2,8.2,historical
bats1,1908,3,8.2,historical
bats1,1908,4,8.2,historical
bats1,1908,5,8.19,historical
bats1,1908,6,8.17,historical
bats1,1908,7,8.13,historical
bats1,1908,8,8.11,historical
bats1,1908,9,8.12,historical
bats1,1908,10,8.14,historical
bats1,1908,11,8.17,historical
bats1,1908,12,8.19,historical
bats1,1909,1,8.2,historical
bats1,1909,2,8.2,historical
bats1,1909,3,8.2,historical
bats1,1909,4,8.2,historical
bats1,1909,5,8.19,historical
bats1,1909,6,8.16,historical
bats1,1909,7,8.13,historical
bats1,1909,8,8.11,historical
bats1,1909,9,8.12,historical
bats1,1909,10,8.14,historical
bats1,1909,11,8.17,historical
bats1,1909,12,8.19,historical
bats1,1910,1,8.2,historical
bats1,1910,2,8.2,historical
bats1,1910,3,8.2,historical
bats1,1910,4,8.2,historical
bats1,1910,5,8.19,historical
bats1,1910,6,8.17,historical
bats1,1910,7,8.13,historical
bats1,1910,8,8.11,historical
bats1,1910,9,8.12,historical
bats1,1910,10,8.14,historical
bats1,1910,11,8.17,historical
bats1,1910,12,8.19,historical
bats1,1911,1,8.2,historical
bats1,1911,2,8.2,historical
bats1,1911,3,8.2,historical
bats1,1911,4,8.2,historical
bats1,1911,5,8.19,historical
bats1,1911,6,8.16,historical
bats1,1911,7,8.13,historical
bats1,1911,8,8.11,historical
bats1,1911,9,8.11,historical
bats1,1911,10,8.14,historical
bats1,1911,11,8.17,historical
bats1,1911,12,8.19,historical
bats1,1912,1,8.2,historical
bats1,1912,2,8.2,historical
bats1,1912,3,8.2,historical
bats1,1912,4,8.2,historical
bats1,1912,5,8.19,historical
bats1,1912,6,8.17,historical
bats1,1912,7,8.13,historical
bats1,1912,8,8.11,historical
bats1,1912,9,8.11,historical
bats1,1912,10,8.15,historical
bats1,1912,11,8.17,historical
bats1,1912,12,8.19,historical
bats1,1913,1,8.2,historical
bats1,1913,2,8.2,historical
bats1,1913,3,8.2,historical
bats1,1913,4,8.2,historical
bats1,1913,5,8.19,historical
bats1,1913,6,8.16,historical
bats1,1913,7,8.13,historical
bats1,1913,8,8.12,historical
bats1,1913,9,8.12,historical
bats1,1913,10,8.15,historical
bats1,1913,11,8.17,historical
bats1,1913,12,8.19,historical
bats1,1914,1,8.2,historical
bats1,1914,2,8.2,historical
bats1,1914,3,8.2,historical
bats1,1914,4,8.2,historical
bats1,1914,5,8.19,historical
bats1,1914,6,8.17,historical
bats1,1914,7,8.13,historical
bats1,1914,8,8.11,historical
bats1,1914,9,8.12,historical
bats1,1914,10,8.15,historical
bats1,1914,11,8.17,historical
bats1,1914,12,8.19,historical
bats1,1915,1,8.2,historical
bats1,1915,2,8.2,historical
bats1,1915,3,8.19,historical
bats1,1915,4,8.2,historical
bats1,1915,5,8.19,historical
bats1,1915,6,8.17,historical
bats1,1915,7,8.13,historical
bats1,1915,8,8.11,historical
bats1,1915,9,8.12,historical
bats1,1915,10,8.15,historical
bats1,1915,11,8.17,historical
bats1,1915,12,8.19,historical
bats1,1916,1,8.2,historical
bats1,1916,2,8.19,historical
bats1,1916,3,8.19,historical
bats1,1916,4,8.2,historical
bats1,1916,5,8.19,historical
bats1,1916,6,8.17,historical
bats1,1916,7,8.13,historical
bats1,1916,8,8.11,historical
bats1,1916,9,8.12,historical
bats1,1916,10,8.14,historical
bats1,1916,11,8.17,historical
bats1,1916,12,8.19,historical
bats1,1917,1,8.19,historical
bats1,1917,2,8.2,historical
bats1,1917,3,8.2,historical
bats1,1917,4,8.2,historical
bats1,1917,5,8.19,historical
bats1,1917,6,8.17,historical
bats1,1917,7,8.13,historical
bats1,1917,8,8.11,historical
bats1,1917,9,8.12,historical
bats1,1917,10,8.14,historical
bats1,1917,11,8.17,historical
bats1,1917,12,8.19,historical
bats1,1918,1,8.19,historical
bats1,1918,2,8.19,historical
bats1,1918,3,8.2,historical
bats1,1918,4,8.2,historical
bats1,1918,5,8.19,historical
bats1,1918,6,8.16,historical
bats1,1918,7,8.13,historical
bats1,1918,8,8.11,historical
bats1,1918,9,8.11,historical
bats1,1918,10,8.14,historical
bats1,1918,11,8.17,historical
bats1,1918,12,8.19,historical
bats1,1919,1,8.19,historical
bats1,1919,2,8.19,historical
bats1,1919,3,8.2,historical
bats1,1919,4,8.2,historical
bats1,1919,5,8.19,historical
bats1,1919,6,8.15,historical
bats1,1919,7,8.12,historical
bats1,1919,8,8.1,historical
bats1,1919,9,8.11,historical
bats1,1919,10,8.14,historical
bats1,1919,11,8.17,historical
bats1,1919,12,8.19,historical
bats1,1920,1,8.19,historical
bats1,1920,2,8.19,historical
bats1,1920,3,8.19,historical
bats1,1920,4,8.2,historical
bats1,1920,5,8.19,historical
bats1,1920,6,8.16,historical
bats1,1920,7,8.12,historical
bats1,1920,8,8.1,historical
bats1,1920,9,8.11,historical
bats1,1920,10,8.14,historical
bats1,1920,11,8.17,historical
bats1,1920,12,8.19,historical
bats1,1921,1,8.19,historical
bats1,1921,2,8.19,historical
bats1,1921,3,8.19,historical
bats1,1921,4,8.2,historical
bats1,1921,5,8.19,historical
bats1,1921,6,8.16,historical
bats1,1921,7,8.13,historical
bats1,1921,8,8.11,historical
bats1,1921,9,8.11,historical
bats1,1921,10,8.14,historical
bats1,1921,11,8.16,historical
bats1,1921,12,8.18,historical
bats1,1922,1,8.19,historical
bats1,1922,2,8.19,historical
bats1,1922,3,8.2,historical
bats1,1922,4,8.2,historical
bats1,1922,5,8.19,historical
bats1,1922,6,8.16,historical
